"","Genus","genus_size","mass_g","gestation_mo","newborn_g","weaning_mo","wean_g","afr_mo","life_mo","litter_size","litters_per_year"
"523","Saccostomus",1,47.38,0.69,2.6,1,NA,2.17,33,6.99,NA
"524","Saguinus",10,457.634,5.02571428571429,41.9755555555556,4.39142857142857,138.75,22.544,246,1.80625,1.14
"525","Saiga",1,38250,4.94,3365.33,2.92,14500,9.15,144,1.65,1
"526","Saimiri",2,593.9,5.71,113.25,6.4,410.5,38.71,252,1,1.33
"527","Salpingotus",1,NA,NA,NA,NA,NA,NA,NA,2.57,2
"528","Scalopus",1,74.6,1.35,5.36,1.17,NA,10.27,36,3.61,1
"529","Scapanus",3,82.5666666666667,1.085,5,1,65,10,NA,3.23,1
"530","Sciurillus",1,39,NA,NA,NA,NA,NA,NA,2,NA
"531","Sciurus",10,553.845,1.408,12.332,2.215,260,10.612,157.75,3.147,1.60714285714286
"532","Scotinomys",2,13.5,1.05,1.35,0.735,NA,1.43,NA,2.91,NA
"533","Sekeetamys",1,38.5,NA,NA,NA,NA,NA,65,2.85,NA
"534","Semnopithecus",1,11253.33,6.3,500,11.48,2100,40.64,300,1.14,0.67
"535","Setifer",1,259.45,1.89,24.85,0.75,NA,6.48,127,3.04,1
"536","Sicista",2,8,0.83,NA,1.25,NA,11.61,40,4.18,1
"537","Sigmoceros",1,153000,7.76,15000,NA,NA,16.58,NA,1,NA
"538","Sigmodon",5,140.174,1.095,6.12,0.495,29.555,1.5425,62,4.8325,3.5
"539","Solenodon",2,950,2.8,53.75,2.5,NA,NA,107,1.68,2
"540","Sorex",21,6.6965,0.691111111111111,0.416666666666667,0.82,6.02,9.52,19,5.437,1.76916666666667
"541","Sotalia",1,46666.67,10.7,NA,NA,NA,NA,NA,1,NA
"542","Spalacopus",1,98.05,NA,NA,NA,NA,NA,70,2.35,1.75
"543","Spalax",1,NA,NA,NA,NA,NA,NA,NA,2.61,1
"544","Speothos",1,6000,2.35,152.43,3.33,NA,11,160,4.26,2
"545","Spermophilopsis",1,NA,1.5,NA,NA,NA,NA,NA,4.42,1
"546","Spermophilus",31,352.303333333333,0.89,6.206,1.26,80.1064705882353,12.3610526315789,84,5.67333333333333,1.05357142857143
"547","Sphiggurus",2,1875,NA,NA,NA,NA,NA,NA,1,NA
"548","Spilogale",2,385.75,1.88,10.35,1.64,160,7.5,118,4.2,1.25
"549","Steatomys",2,24.765,NA,1.55,NA,NA,NA,NA,4.535,NA
"550","Stenella",3,87327.7766666667,11.3,11300,16.9266666666667,NA,83.4466666666667,618,1.16666666666667,0.33
"551","Steno",1,122500,NA,NA,NA,NA,120,384,NA,NA
"552","Stochomys",1,74.5,NA,NA,NA,NA,NA,NA,3,NA
"553","Stylodipus",1,55,NA,NA,NA,NA,NA,NA,3,1
"554","Suncus",3,23.985,0.99,1.405,0.655,10.585,4.52,31,3.39,NA
"555","Sundamys",1,334,NA,NA,NA,NA,NA,24,3.8,NA
"556","Sundasciurus",2,71,NA,NA,NA,NA,NA,NA,2.75,NA
"557","Surdisorex",2,NA,NA,NA,NA,NA,NA,NA,1.25,NA
"558","Suricata",1,776,2.57,31.33,1.44,212.75,10.8,152,3.63,1
"559","Sus",3,70600,3.90333333333333,615.905,3.38,8726,16.385,252,4.32,1.36
"560","Sylvicapra",1,19000,5.08,1202.86,NA,NA,9.9,172,1.01,1.38
"561","Sylvilagus",8,1106.535,1.025,36.934,0.765714285714286,139.25,5.045,108,3.6,3.69571428571429
"562","Sylvisorex",1,NA,NA,NA,NA,NA,NA,NA,2,NA
"563","Synaptomys",2,29.175,0.77,3.46,0.75,20,NA,30,3.87,2.5
"564","Syncerus",1,504666.67,11.03,42862.5,9.18,166000,47.92,354,1.08,0.4
"565","Tachyoryctes",2,207.5,1.47,17,1.3,NA,4.99,37,1.47,2.07
"566","Talpa",2,109.15,1.06,3.44,1.14,44.2,10.41,72,4.22,0.985
"567","Tamandua",1,5030,5.22,NA,NA,NA,12,114,1,1.35
"568","Tamias",18,70.4794444444444,1.02923076923077,3.22428571428571,1.33111111111111,26.99,10.74875,94.25,4.45277777777778,1.11133333333333
"569","Tamiasciurus",2,212.15,1.255,6,2.06,83.75,7.62,120,6.99,1.585
"570","Tapirus",4,236300,13.05,6546.875,7.935,86260,34.5,420,1,0.605
"571","Tarsius",5,124.95,5.84333333333333,25.58,2.34,NA,21.81,152.5,1,1.935
"572","Tateomys",1,84,NA,NA,NA,82.8,NA,NA,NA,NA
"573","Tatera",8,101.54125,0.785,3.8575,0.82,31.3333333333333,4.002,84,4.454,4.334
"574","Taterillus",3,49.975,0.875,NA,0.75,NA,3,NA,4,NA
"575","Taurotragus",2,556250,8.655,28325,6,NA,31.695,282,1,NA
"576","Taxidea",1,6050,1.83,101.88,1.68,3000,7.35,312,3.07,0.74
"577","Tayassu",1,33750,5.23,1225,1.63,NA,20,253,2,NA
"578","Tenrec",1,884,2.01,21.38,1.11,225,6.33,76,13.89,1.5
"579","Tetracerus",1,19000,7.34,1033,NA,NA,13.2,130,1.57,NA
"580","Thallomys",1,77.43,NA,2.65,0.98,NA,3.57,NA,3,NA
"581","Thamnomys",1,65,0.8,NA,0.8,NA,2.74,NA,NA,NA
"582","Theropithecus",1,12242.33,5.81,464.5,15.4,3900,46.3,360,1,0.5
"583","Thomomys",7,161.3,0.87,4.17666666666667,1.41,86,9.835,72,4.95571428571429,1.31333333333333
"584","Thrichomys",1,373.5,3.1,21.1,1.5,NA,5.85,NA,3.15,2.5
"585","Thryonomys",2,2783.75,3.28,105,1,NA,10.94,52,3.83,2.165
"586","Tolypeutes",1,1225,4.75,99,1.72,NA,NA,NA,1,1
"587","Trachypithecus",7,7986.39285714286,5.79,406.386666666667,11.1,1100,46.5,NA,1,0.556666666666667
"588","Tragelaphus",7,126166.667142857,7.77666666666667,9030.41666666667,6.5,NA,19.4283333333333,218.8,1,1.12833333333333
"589","Tragulus",2,4875,4.905,371.835,2.96,NA,4.85,168,1,NA
"590","Tremarctos",1,61000,7.33,320,2.96,NA,NA,464,1.65,NA
"591","Trichechus",3,455833.333333333,10.095,20566.665,21,67500,42.655,339,1,0.435
"592","Trogopterus",1,NA,2.71,NA,3.5,NA,22,144,1.55,NA
"593","Tupaia",5,484.75,1.55666666666667,11.3133333333333,1.12,100,4.53,149,2.018,7.5
"594","Tursiops",1,173333.33,12.12,18920,18.94,NA,97.41,588,1,0.5
"595","Tylomys",1,280,1.32,16.77,0.87,40,3.15,65,2.36,NA
"596","Uncia",1,45625,3.28,463.45,2.54,7500,30.11,252,2.22,1
"597","Uranomys",1,47,NA,NA,NA,NA,NA,NA,3.58,NA
"598","Urocyon",2,3055.335,1.92,95.33,1.9,519.67,11.25,NA,3.385,0.99
"599","Urogale",1,350,1.85,19.98,1.25,104.4,NA,138,1.63,NA
"600","Uromys ",1,625,1.29,20,1.33,NA,6,NA,2.06,NA
"601","Urotrichus",1,19.5,NA,NA,1,NA,12,NA,3.53,1.5
"602","Ursus",4,169273.335,7.1975,443.8025,9.0325,23735.3333333333,46.8175,454,2.0575,0.366666666666667
"603","Vandeleuria",1,56.6,NA,NA,NA,NA,NA,NA,4,NA
"604","Varecia",1,3431.43,3.34,91.99,3.67,2893,24.28,396,2.23,1
"605","Vicugna",1,50000,11.55,5841.67,7,NA,22.75,344,1,0.67
"606","Viverra",1,10000,NA,NA,1,NA,NA,240,2.6,2
"607","Viverricula",1,3000,NA,NA,4.25,NA,NA,126,3.88,NA
